Brand (Manufacturer),row_number,product_id,Part Number,Extra Info/Notes,superseded
NULL,1,38,AEUT10,"<html><head></head><body>

<p>This is to assist changing flip remote blades with the roll pin that holds them in place.<br>
<br>
Cross Reference:<br>
3D Group: AET3<br>
SKS: RM003</p></body></html>",NULL
Ford,2,54,,NULL,NULL
Volkswagen,3,55,,NULL,NULL
Fiat,4,60,,<html><head></head><body></body></html>,NULL
Alfa-romeo,5,60,,<html><head></head><body></body></html>,NULL
NULL,6,85,6N0837238B,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong>&nbsp;while stocks last.</strong></p>


</body></html>",NULL
NULL,7,87,9170KS,"<html><head></head><body><p>Welcome to this Bargain Basement Product.</p>

<p><strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>

<p>An OEM Citroen DS3 driver's/right door lock made and supplied with 2x VA2 OEM Citroen keys.</p>



<p>Vehicles:<br>
Citroen DS3</p>
</body></html>",NULL
NULL,8,95,BB11,"<html><head></head><body>

<p>This is a one off product for a limited time only -<strong>&nbsp;while stocks last.</strong></p>

<p>A brand new, genuine full lockset with 1 x NSN11 horseshoe key blade and a T11 ID41 transponder chip.</p>

<p><br>
1x Ignition Lock<br>
2x Security Bolts<br>
4x Door Locks<br>
1x Fuel Lid Lock<br>
5x Body Lock Clips<br>
1x Key with Chip.</p>

<p>Vehicles:<br>
LDV Cub<br>
Nissan Vanette<br>
Also ignition and door locks may fit other cars like a&nbsp;Nissan Micra but have not been tested.</p></body></html>",NULL
NULL,9,100,2H0837168,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.<br>
<br>
NOTE: BRAND NEW GENUINE PART.</strong></p>

<p>This is a one off product for a limited time only -<strong>&nbsp;while stocks last.</strong></p>

<p>A brand new, genuine, right hand drive Volkswagen Amarok driver's door lock with 1 x genuine key HU66 fitted with vw canbus chip ID48 chip (TPT23)</p>



<p>Excellent product to test out your picking and decoding skills on a budget.</p>

</body></html>",NULL
NULL,10,101,4162W4,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong>&nbsp;while stocks last.</strong></p>

<p>A genuine, brand new SX9 ignition barrel with 2 x SX9 Keys with an&nbsp;ID33 ({TP33}) (30) transponder chip.</p>



<p>Vehicles:<br>
Citroen Dispatch 1998-2006<br>
Citroen Synergie 1998-2002<br>
Fiat Scudo 1998-2006<br>
Fiat Ulysee 1998-2002<br>
Peugeot 806 1998-2002<br>
Peugeot Expert 1998-2006</p></body></html>",NULL
